Report	Description	Product	Report Analyst	Associated ask channel	Category	Support Domain	key	Product Requirement	Rank	Product PM	Associated Product	Associated Suite	Assignment Confident Level
Customer Aged Receivables	This report will allow users to see an aged view of all of their inter-company receivables in order to more easily follow-up with entities that owe them money.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	customer_aged_receivables	Entrata Core				N/A	
Customer Invoices	The Customer Invoices report will support the AR functionality for properties to generate customer invoices for their residents / customers.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	customer_invoices	Entrata Core, Invoice Processing			Financial Operations - Revenue Protection	Property Ops Experience	
Daily and Weekly Operations	This report will overview key aspects of the daily on-site activities. Datasets include Summary, Lead Sources, Leasing Agents, Move-out Reasons, and Close Reasons.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	daily_and_weekly_operations	Entrata Core, LeadManager			Unsure	Unsure	
Dashboard Audit Limited	Pulls specific fields of the dashboard audit report, created to be pulled via an API without the increased server load	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	System	Reports	dashboard_audit_limited	No Product Requirement			Unsure	Unsure	
Dashboard Audit Report	The Dashboard Audit Report report will give you a high-level view of how many items and tasks you have on your dashboard that are still opened or pending. This report is broken out based on each selected Dashboard tab and its corresponding sub-tabs.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	System	Reports	dashboard_audit_report	No Product Requirement			Unsure	Unsure	
Deferred Revenue	The Deferred Revenue report allows you to see what the total recurring billings will be over the life of the listed residents active lease term with the ability to compare how much of that total contract has been billed (to date) and how much of that total contract is remaining to be billed.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	deferred_revenue	Entrata Core				N/A	
Deleted Reviews	This report will allow you to view reviews that have been deleted and see who and when they were deleted within a selected date range. Currently, only clients that have the Reputation Advisor product can use this report.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	deleted_reviews	No Product Requirement			Marketing Strategy Hub	Marketing	
Delinquency	This report will allow you to view details on households who have delinquent, unpaid balances allowing you to identify residents who may need notices sent or perhaps eviction processes initiated.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	delinquency	Entrata Core	6-10		Financial Operations - Revenue Protection	Property Ops Experience	
Demand	"The Demand report shows the popularity and demand for units based on: Age, Bedroom Count, Gender, Occupant Count, and Rental Rate. The data is collected from prospect guest cards and applications.
This report is not restricted by products used."	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	demand	No Product Requirement			Marketing Strategy Hub	Marketing	
Deployment	The Deployment report allows you to track service members that are deployed or on active military duty away from their home.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	deployment	Entrata Military			Resident Operations - Sub-Vertical - Military	Property Ops Experience	
Deposit Alternative	This report will display Residents insured under Deposit Alternative.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	deposit_alternative	Deposit Alternative, Homebody					
Deposit Refund Allocations	This report provides users with a list of past residents in order to see how their deposits were allocated and refunded. This enables the sites to have an audit style report to ensure the deposit was fully allocated and towards what.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	deposit_refund_allocation	Entrata Core			Financial Operations - Customer Transactions	Property Ops Experience	
Disassociated Payment Details	The purpose of this report is to provide organized details concerning payments that have been disassociated and then re-associated	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Payments	Reports	disassociated_payment_details	No Product Requirement			Financial Operations - Payments	Property Ops Experience	
Disassociated Payments	The Disassociated Payments report shows payments that have been disassociated from residents and shows the new association if one has been made.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Payments	Reports	disassociated_payments	Entrata Core			Financial Operations - Customer Transactions	Property Ops Experience	
DocStorage Document Activity	The DocStorage Document Activity report shows how many documents have been uploaded or downloaded in a specific date range.  Must have DocManagement to use this report.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Communications	Reports	docstorage_document_activity	Doc Management			Doc Management	N/A	
DocStorage Usage	The DocStorage Usage report shows when and how many documents were synced as well as uploads and downloads.  Must have DocManagement to use this product.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Communications	Reports	docstorage_usage	Doc Management			Doc Management	N/A	
Donation Settlement	The Donation Settlement Report will show details regarding settlements of payments applied to a charity.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Payments	Reports	donation_settlements	No Product Requirement			Financial Operations - Payments	Property Ops Experience	
Draw Request Details	The Draw Request Details report lists every Job Cost invoice or JE transaction associated to a Draw Request in the Job Costing module.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	draw_request_details	Entrata Job Costing			Asset Operations - Budgeting and Job Costing	Property Ops Experience	
Electronic Payments Summary	The Electronic Payment Summary report shows the total amount of transactions for each electronic payment type as well as the payment volume for these transactions for each property.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Payments	Reports	electronic_payments_summary	ResidentPay			Financial Operations - Payments	Property Ops Experience	
Entrata Redd Chat Performance	A report to show conversion and determine how well the Entrata Redd Chatbot is performing.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Communications	Reports	entrata_redd	No Product Requirement			Leasing Center	Tech-Enabled Services	
Entrata Redd Voice Performance	A report to show conversion and determine how well the Entrata Redd Voice is performing.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Communications	Reports	entrata_redd_voice_performance	No Product Requirement			Leasing Center	Tech-Enabled Services	
Entrata Reports Change Log	This is an internal report used by the Entrata Reporting team.  This report is NOT to be distributed to clients or shown to clients.	Reports Framework	Brigham Shipley	#ask-reporting-framework	System	Reports	entrata_reports_change	No Product Requirement				N/A	
Expense Distribution	The Expense Distribution report provides a listing of all expenses posted to the general ledger from accounts payable during the user defined period.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	expense_distribution	Entrata Core			Financial Operations - Payments	Property Ops Experience	
Expiring Leases	The Expiring Leases report displays a list of leases which have or will expire in the user-defined period.  This data allows the property to prepare for upcoming unit turnovers or initiate the renewal process with such households.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	expiring_leases	No Product Requirement			Resident Operations - Workflows	Property Ops Experience	
Expiring Vendor Insurance	This report is designed to give users an idea of when their vendor's insurance policies are going to be expiring.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	expiring_vendor_insurance	Entrata Core			Financial Operations - Vendors	Property Ops Experience	
Failed Recurring Payments	The Failed Recurring Payments report shows what recurring payments failed and what the failure reason was for those payments. This is helpful because by seeing what recurring payments failed the client can prevent their residents paying late fees the resident wasn't responsible for	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Payments	Reports	failed_recurring_payments	ResidentPay			Financial Operations - Payments	Property Ops Experience	
Failed System Emails	The Failed System Emails report will show which emails have failed to be sent.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Communications	Reports	failed_system_emails	No Product Requirement			Message Center	Marketing	
FMO Status	With each state having legal requirements to provide residents/applicants within a certain time-frame, this report will provide regional and corporate users the ability to audit what needs to be done in the FMO process in order to get these refunds out on time.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	fmo_status	Entrata Core			Financial Operations - Revenue Protection	Property Ops Experience	
Forecasted Income Statement	The Forecast Income Statement displays expected performance for the budget period. The report lists actual results for periods that have occurred, and budgeted results for future periods. Combined, these values represent a forecast for the total budget period.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	income_statement_forecast	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
Forecasted Occupancy	The Forecasted Occupancy report will provide average occupancy percentages on a monthly outlook, allowing you to forecast occupancy within the properties that have been selected. Currently all clients (core and integrated) can view this report.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	forecasted_occupancy	Entrata Core, LeaseExecution				N/A	
Future Recurring Work Orders	The Future Recurring Work Orders report displays all recurring work order templates that are scheduled to be generated within the selected period.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Maintenance	Reports	future_recurring_work_orders_	Entrata Core			Asset Operations - Facilities Management	Property Ops Experience	
GL Account Assignments	This report lists all GL Accounts that are associated to the user defined property/property group.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	System	Core (AP)	gl_account_assignments	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
GL Account Totals by Property: Balance Sheet	This drill down report displays GL account totals by property when the Balance Sheet is consolidated.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Reports	gl_account_totals_by_property:_balance_sheet	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
GL Account Totals by Property: Income Statement	This drill down report displays GL account totals by property when the Income Statement is consolidated.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Reports	gl_account_totals_by_property:_income_statement	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
GL Account Totals by Property: Income Statement Budget vs Actual	This drill down report displays GL account totals by property when the Income Statement - Budget vs Actual is consolidated.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Reports	gl_account_totals_by_property:_income_statement_budget_vs_actual	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
GL Details	The GL Details report allows you to look at the details of every transaction that is recorded to your general ledger. Using the filters you can select which GL accounts you want to see the details for over a selected period. This report is helpful for analyzing account balances and the specific transactions included in those account balance.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	gl_details	Entrata Core	1-5		Financial Operations - General Accounting	Property Ops Experience	
GL Export Batch	This report provides a list of all GL Export Batches for a property or properties.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	gl_export_batch	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
GL Totals	Provides a snapshot, by property, of the totals for any element within the tree including, GL accounts, GL Account Groups, or Total Groups.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	gl_tree_totals	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
Gross Potential Rent (GPR)	The Gross Potential Rent (GPR) report is used to determine the maximum rent that a property could receive based off of market rent prices if all of their units were rented.  This report shows that number as well as what is preventing the property from reaching that number. (e.g. vacancy).	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	gpr_consolidate_by	Entrata Core	1-5		Asset Operations - Rates Management	Property Ops Experience	
Gross Potential Rent (GPR) - Cash Basis	"The Gross Potential Rent (GPR) - Cash Basis report is used to determine the maximum rent that a property could receive based off of market rent prices if all of their units were rented. This report shows that number as well as what is preventing the property from reaching that number. (e.g. vacancy).
The Cash Basis version of this report breaks out how the system calculates the GPR journal entry when it is set to Cash.  It includes cash receipts and change in delinquency for the period."	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	gross_potential_rent_-_cash_basis	Entrata Core			Asset Operations - Rates Management	Property Ops Experience	
Group Leasing	The <strong>Group Leasing</strong> report allows users to view Groups and Contracts on selected properties, as well as view the residents that are associated to those contracts.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	group_leasing	Entrata Core			Resident Operations - Workflows	Property Ops Experience	
Group Permissions	"This report allows you to audit group permissions and access levels, (read only, deny, and allow).
Note: There are over 2,500 permissions available in the system, which is a lot of data when running it for all groups. Below are some tips and tricks to running this report.
1. We suggest that you do not run this report by generating it in the Entrata System. Instead, we ask that you download it as an XLS, PDF, or CSV. 
2. Because of the large amount of data, we do not allow you to consolidate all groups onto one page. This helps increase the report generation time and decreases the chance of the browser crashing.
3. When running this report in the E and selecting all groups, your browser may crash. To avoid that see item #1."	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	System	Reports	group_permissions	No Product Requirement			Permissions/users/groups	Central Services & Data Management Platform	
Guest Check-Ins	The Guest Check-Ins report provides a list of all resident guests who visited a property in the user-defined period.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	guest_check-ins	No Product Requirement			Resident Portal	Resident XP	
Historic Rents	This report will display all the historic rent values (for a selected date range) by unit, unit type, and property.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	historic_rents	Entrata Core				N/A	
Historical Rates History	This report allows you to quickly review the changes to your Base, Amenity, Special, Add On and ultimately Market Rents on your Units and Spaces.  This report is directly related to the Historial Rents (Rate Logs) information found within Setup.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	System	Reports	historical_rates_history	No Product Requirement				N/A	
Household Documents	This report will allow you to view all documents that have been added to the 'Documents' tab of the Resident/Lead and if they are visible in Resident Portal.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	household_documents	No Product Requirement			DocEx	Leasing	
ID Verification	This report will allow you to report on prospects or residents who need to upload their ID or have their ID-verified.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	id_verification	No Product Requirement			Online Application	Leasing	
In Service	This report is to show when units went into an 'in service' (excluded) status, and when they went back into a 'rentable' status on a quarterly basis. This is a Military report that is part of the Schedule G reporting packet.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	military_-_in_service	Entrata Military			Resident Operations - Sub-Vertical - Military	Property Ops Experience	
Inactive Users	The Inactive Users report will give you a list of all users that have been flagged as inactive.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	System	Reports	inactive_users	No Product Requirement			Permissions/users/groups	Central Services & Data Management Platform	
Income Statement	The Income Statement, also known as a Profit and Loss Statement or simply a P&L, is a financial statement that shows revenue and expenses over a specified period of time. The Income Statement helps companies measure their financial performance over the given period by outlining the revenues and expenses and calculating a net income or loss.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	income_statement	Entrata Core	1-5		Financial Operations - General Accounting	Property Ops Experience	
Income Statement - Budget vs Actual	The Income Statement Budget v. Actual, is a financial statement that shows a company's revenue and expenses over a specified period of time. This report will provide a comparison of actual revenues and expenses to what's been budgeted for the period, and provide a variance.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	income_statement_-_budget_vs_actual	Entrata Core	6-10		Financial Operations - General Accounting	Property Ops Experience	
Income Statement by Property	The Income Statement by Property report mimics the traditional Income Statement report but allows you to see GL account balances broken down by property.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	income_statement_by_property	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
Income Statement By Unit	The Income Statement by Unit summarizes the revenues and expenses by Floor Plan, Unit Type, Bldg., or Unit  for a given period.  The report is useful for analyzing profitability at a Building or Unit level.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	income_statement_by_unit	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
Income Targeting (Section 8)	This report allows Affordable (HUD) projects to effectively manage their Section 8 contracts by enabling users to see the Income Levels of their residents.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	income_targeting_(section_8)	Entrata Affordable			Resident Operations - Sub-Vertical - Affordable	Property Ops Experience	
Inspection Manager Details	The Inspection Manager Details report will provide details for each inspection through the Inspection Manager product.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Maintenance	Reports	inspection_manager_details	InspectionManager			Asset Operations - Facilities Management	Property Ops Experience	
Inspection Summary	The Inspection Summary report will show a summary of failed inspections through the Inspection Manager product.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Maintenance	Reports	inspection_summary	InspectionManager			Asset Operations - Facilities Management	Property Ops Experience	
Inspections by Status	This report gives Inspection Manager users a count of all inspections created for each inspection template, along with a breakdown of those inspections and their current status.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Maintenance	Reports	inspections_by_status	InspectionManager			Asset Operations - Facilities Management	Property Ops Experience	
Installments by Lease	The Installments by Lease report provides a list of leases assigned to installment plans.  This allows you to verify the setup of installment plans associated to leases.  This includes data such as lease term, installment plan name, and a list of each installment.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	installments_by_lease	Entrata Core			Financial Operations - Billing	Property Ops Experience	
Insurance Policies	This report will provide a breakdown of total residents that are insured, who is uninsured, and who their policy is currently with and will group this data by policy status	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	insurance_policies	No Product Requirement			Resident Insure	Resident XP	
Insurance Policy Details	The Insurance Policy Details report provides you with details on the insurance policies that the residents within your properties carry. Currently, there are no required permissions to use this report.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	insurance_policy_details	Entrata Core, Renters Insurance, Entrata PaaS			Resident Insure	Resident XP	
Integration Key Values	Description not added yet.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	System	Reports	integration_key_values	No Product Requirement				N/A	
Integration Queues	Integration Queues	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	System	Reports	integration_queues	No Product Requirement				N/A	
Integration Residents	Integration Residents	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	System	Reports	integration_residents	No Product Requirement				N/A	
Integration Results	Integration Results	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	System	Reports	integration_results	No Product Requirement				N/A	
Integration Service Logs	Integration Service Logs	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	System	Reports	integration_service_logs	No Product Requirement				N/A	
Inter-Company Balance Summary	This report will allow inter-company users to see how many reimbursement invoices are owed to the parent property/bank account owner at any given time. This will allow for better cash management and planning.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Reports	inter-company_balance_summary	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
Inter-Company Transactions	The goal of this report is to show users what transactions make up their inter-company GL accounts. The total or ending balance for each of the 3 sections in this report should tie out to the corresponding GL account.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	inter_company_transactions	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
Inventory Quantities	The Inventory Quantities report allows you to see how much inventory the company/property has, where it's stored, and how much you have on order.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	inventory_quantities	Entrata Core			Asset Operations - Asset Optimization	Property Ops Experience	
Inventory Transfer	This report provides the details of inventory transfers that occur between asset locations & properties	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Reports	inventory_transfer	Entrata Core			Asset Operations - Asset Optimization	Property Ops Experience	
Inventory Valuation	The Inventory Valuation report allows you to see the total value of the inventory the company/property owns based on location, property, and category.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	inventory_valuation	Entrata Core			Asset Operations - Asset Optimization	Property Ops Experience	
Invoice Approval History	The Invoice Approval History report tracks when invoices that used approval routing were approved and who approved them. This lets you see how long it takes an item to move through the approval process.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	invoice_approval_history	Entrata Core			Financial Operations - Invoices	Property Ops Experience	
Invoice Tax Export	This report shows details of all the taxes and charges associated to each invoice created and is used for auditing purposes and as an export for important government tax documents.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	spain_tax_export	Entrata Core			-- Entrata International	N/A	
IVR Performance	The report will show the IVRs a company uses and show the performance of each option and sub option. The report shows where calls are being connected through as well as where callers are abandoning the call.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Communications	Reports	ivr_performance	CallTracking			Leasing Center	Tech-Enabled Services	
Job Category Summary	This report provides a summary view of actual and budget amounts for job categories by property.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Reports	job_category_summary	Entrata Job Costing			Asset Operations - Budgeting and Job Costing	Property Ops Experience	
Job Cost - Budget vs Actual	The Job Cost - Budget vs Actual report allows you to compare actual job costs to budgeted job costs by cost category.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	job_cost_-_budget_vs_actual	Entrata Job Costing			Asset Operations - Budgeting and Job Costing	Property Ops Experience	
Job Cost Details	The Job Cost Details report lists transaction details for Jobs that are being managed through the Job Costing product. Using the filters, you can select which Jobs, Phases, and Job Cost Codes you want displayed in the report.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	job_cost_details	Entrata Job Costing			Asset Operations - Budgeting and Job Costing	Property Ops Experience	
Job Cost History	This report allows you to view user defined categories or cost codes summarized into a single line item, while viewing other's in full detail over the entire history of the job.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	job_cost_history	Entrata Job Costing			Asset Operations - Budgeting and Job Costing	Property Ops Experience	
Job Cost Summary	This report gives the user a quick overview of how a job is doing financially. At a glance, the user can see how much has been budgeted, contracted, and paid (invoiced) for each job cost code.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	job_cost_summary	Entrata Job Costing			Asset Operations - Budgeting and Job Costing	Property Ops Experience	
Job Costing Budget Revision	The Job Costing Budget Revision report provides an audit trail history of the budget for a job readily accessible, in context, for job costing users.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	job_costing_budget_revision	Entrata Job Costing			Asset Operations - Budgeting and Job Costing	Property Ops Experience	
Job Listing	This report used for download job listing from job costing in pdf/excel/CSV format.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Reports	job_listing	Entrata Job Costing			Asset Operations - Budgeting and Job Costing	Property Ops Experience	
Jobs Overview	This report will allow Job Costing users to see a quick overview of all Jobs associated to a specific property. The report will highlight pertinent info like Budget, Actual, Cost to Complete, etc. by job.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	jobs_overview	Entrata Job Costing			Asset Operations - Budgeting and Job Costing	Property Ops Experience	
Journal Entry Register	The Journal Entry Register allows you to audit and research any journal entries created during the selected reporting period. 	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	journal_entry_register	No Product Requirement			Financial Operations - General Accounting	Property Ops Experience	
Late Fee Batches	This report will display all late fee batches that were posted during the selected period/date range showing the household and fee amounts. This will enable you to review all such late fee postings to ensure all appropriate fees were posted and processed accordingly.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	late_fee_batches	Entrata Core			Financial Operations - Revenue Protection	Property Ops Experience	
Late Notices	This report provides a list of residents who have overdue balances showing the dates in which late notices were sent to them and basic information on their overdue balance.  This enables the user to track those households in order to manage when to send additional notices or when to initiate the eviction process.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	late_notices	Entrata Core			Financial Operations - Revenue Protection	Property Ops Experience	
Lead Conversion	The Lead Conversion report will help you to understand how well you are moving leads through the leasing process and converting them into leases. Key metrics that are used include: new leads, started applications, completed applications, dead leads, signed leases, and move-ins. Duplicate Leads, leads that are cancelled with a merged or cloned reason, will not be included on the report. There are no product required for this report. Report excludes Other Income profiles.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	lead_conversion	No Product Requirement	11-20		Lead Management	Marketing	
Lead Score Analysis	The Lead Score Analysis report will give users a high level overview of how accurate the generated lead score has been.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	lead_score_analysis	LeadManager			Lead Management	Marketing	
Lead Score Details	The purpose of the Lead Score Details Report is to view information pertaining to the scoring of each individual lead. Report excludes Other Income profiles.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	lead_score_details	LeadManager			Lead Management	Marketing	
Lead Source Attribution	The Lead Source Attribution Report allows you to analyze the expenditure and rate of return for leads and leases based on each lead source.The Entrata Core product is required for this report. Report excludes Other Income profiles.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	lead_source_attribution	No Product Requirement			ILS Portal	Marketing	
Lead Source Details	The Lead Source Details Report will show a list of active lead sources, the associated vanity number, forwarding number, email tracker address, and switch codes. Properties can use this to audit their lead source setup. No product requirements are necessary for this report.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	lead_source_details	No Product Requirement			ILS Portal	Marketing	
Lead Trend Analysis	This report is designed to combine the Leads by Property, Leads By Lead Source, and Leads By Product reports. The report shows the number of new leads over a selected period of time, grouped by Property, Lead Source, or Product. Report excludes Other Income profiles.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	lead_trend_analysis	No Product Requirement			Lead Management	Marketing	
Lead Trends by Source	The Lead Trends by Source report shows the lead count for each source based off the lead source that was selected on the guest card. The data is separated by month so that you can view the change over the period selected. Report excludes Other Income profiles.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	lead_trends_by_source	No Product Requirement			ILS Portal	Marketing	
Leads By Lead Source	The Leads By Lead Source Report will show the traffic volume of each lead source and will allow you to compare traffic volume across the board. Report excludes Other Income profiles.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	leads_by_lead_source	No Product Requirement			ILS Portal	Marketing	
Lease Activity	This report will provide you with a list of households based on specific key lease activity metrics such as move-ins, move-outs, renewals, etc. This allows you to identify those households who have fallen into any of these key buckets, allowing you to more effectively track those households or confirm the action taken for each household. Currently, all clients (core and integrated) can use this report.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	lease_activity	No Product Requirement			Resident Operations - Workflows	Property Ops Experience	
Lease Commission	This report will give a summary of residents who have their leases approved, completed, renewals, or who have moved-in to the selected properties, as well as provide information on the leasing agent that is responsible for each of these residents. Currently, all clients (core and integrated) can use this report.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	lease_commission	Entrata Core, LeaseExecution, LeadManager			Lease Execution	Leasing	
Lease Data	This report will provide detailed lease information at the resident level for the property(ies) selected. This report will display lease start/end dates, move-in/move-out dates, as well as deposit and scheduled rent charges. Currently, core clients and integrated clients can use this report.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	lease_data	Entrata Core, LeaseExecution, LeadManager			Resident Operations - Workflows	Property Ops Experience	
Lease Execution Adoption	The purpose of the Lease Execution Adoption Report is to track how well properties are doing at converting to paperless lease signing procedures. Report excludes Other Income profiles.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	lease_execution_adoption	LeaseExecution			LeaseExecution	N/A	
Lease Execution Summary (Applicant)	The purpose of the Lease Execution (Applicant) report is to be able to track lease signatures based on applicant types.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	lease_execution_(applicant)	No Product Requirement			LeaseExecution	N/A	
